City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
1,Butaritari,KI,80.62,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
3,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
4,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
7,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
12,Castro,BR,75.54,clear sky,-24.7911,-50.0119,CHACARA BAILLY
13,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
26,Mahajanga,MG,80.62,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
36,Paragominas,BR,83.25,overcast clouds,-2.9667,-47.4833,INOVA
41,Upata,VE,81.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
44,Hambantota,LK,75.74,overcast clouds,6.1241,81.1185,Bungalow 63
45,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
47,Dunmore Town,BS,78.39,overcast clouds,25.5,-76.65,Coral Sands Hotel
48,Nishihara,JP,76.28,scattered clouds,26.1842,127.7558,Minshuku Agaihama
49,Tecoanapa,MX,84.52,clear sky,16.5167,-98.75,Hotel Manglares
50,Atuona,PF,78.28,broken clouds,-9.8,-139.0333,Villa Enata
53,Bacungan,PH,78.44,scattered clouds,9.9106,118.7022,Sumayang Property
54,Caramay,PH,78.82,scattered clouds,10.1815,119.236,Peace and Love Beach Club
56,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Scoop Guest House
57,Victoria,HK,75.18,few clouds,22.2855,114.1577,Mini Hotel Central
65,Bandarbeyla,SO,77.38,scattered clouds,9.4942,50.8122,JABIR HOTEL
66,Bengkulu,ID,76.8,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
70,Rocha,UY,81.61,broken clouds,-34.4833,-54.3333,Hotel Arrarte
72,Pilar,BR,82.33,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
76,Kuah,MY,77.0,few clouds,6.3265,99.8432,Azio Hotel
77,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
82,Araguaina,BR,83.32,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
86,Dickinson,US,83.01,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
87,Chuy,UY,86.95,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
89,Alyangula,AU,81.39,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
92,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
94,Providencia,MX,87.21,overcast clouds,28.7167,-111.5833,
97,Lorengau,PG,81.28,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
102,Grand Gaube,MU,75.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
106,Cabo San Lucas,MX,85.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
109,Piedras Negras,MX,81.25,few clouds,28.7,-100.5167,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
112,Soc Trang,VN,78.76,broken clouds,9.6033,105.98,Phu Quy Hotel
118,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
122,Ambon,ID,81.52,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
124,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
125,Kirakira,SB,81.81,few clouds,-10.4544,161.9205,SanBiz Lodge
