City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mount Isa,AU,-20.7333,139.5,76.77,41,9,8.05,clear sky
1,Butaritari,KI,3.0707,172.7902,80.62,80,39,8.32,scattered clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,68.88,67,95,11.99,overcast clouds
3,Tautira,PF,-17.7333,-149.15,84.22,69,18,6.33,few clouds
4,Kapaa,US,22.0752,-159.319,80.58,74,75,1.99,broken clouds
5,Albany,US,42.6001,-73.9662,49.68,58,100,1.01,overcast clouds
6,Hilo,US,19.7297,-155.09,80.33,71,40,3.44,scattered clouds
7,Puerto Escondido,MX,15.85,-97.0667,86.83,66,1,8.05,clear sky
8,Gat,IL,31.61,34.7642,59.68,62,50,4.7,scattered clouds
9,Bluff,NZ,-46.6,168.3333,51.42,84,100,8.39,overcast clouds
10,Busselton,AU,-33.65,115.3333,61.05,90,98,17.13,overcast clouds
11,Linhares,BR,-19.3911,-40.0722,66.34,95,100,7.0,overcast clouds
12,Castro,BR,-24.7911,-50.0119,75.54,47,10,5.44,clear sky
13,Puerto Ayora,EC,-0.7393,-90.3518,78.76,77,58,11.01,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,44.71,49,75,24.16,light rain
15,Vaini,TO,-21.2,-175.2,80.76,89,20,3.44,few clouds
16,Cape Town,ZA,-33.9258,18.4232,66.61,80,0,23.02,clear sky
17,Port Augusta,AU,-32.5,137.7667,55.54,58,100,5.64,overcast clouds
18,Bredasdorp,ZA,-34.5322,20.0403,63.28,84,100,15.5,light rain
19,Mataura,NZ,-46.1927,168.8643,49.19,99,100,1.59,overcast clouds
20,Elat,IL,29.5581,34.9482,64.24,77,40,13.8,haze
21,Barrow,US,71.2906,-156.7887,-5.78,77,40,13.8,haze
22,Dikson,RU,73.5069,80.5464,-7.85,72,8,12.82,clear sky
23,Moreira,PT,41.056,-8.3894,55.33,89,11,0.78,few clouds
24,Uyuni,BO,-20.4597,-66.825,67.96,24,100,5.37,overcast clouds
25,Kodiak,US,57.79,-152.4072,26.11,43,1,6.91,clear sky
26,Mahajanga,MG,-15.7167,46.3167,80.62,83,40,8.05,light rain
27,Ushuaia,AR,-54.8,-68.3,38.86,75,40,27.63,light rain
28,East London,ZA,-33.0153,27.9116,70.11,85,100,22.03,overcast clouds
29,Vardo,NO,70.3705,31.1107,28.38,59,40,23.02,scattered clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,1,3.44,clear sky
31,Klyuchi,RU,52.2667,79.1667,22.87,79,100,15.73,overcast clouds
32,Saint-Philippe,RE,-21.3585,55.7679,74.79,76,7,6.15,clear sky
33,Katsuura,JP,35.1333,140.3,60.82,79,99,22.21,light rain
