City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Aksarka,RU,2021-11-20 12:25:26,66.5606,67.7975,6.42,95,99,10.96
1,Rikitea,PF,2021-11-20 12:23:46,-23.1203,-134.9692,72.07,69,92,7.72
2,Alexandria,EG,2021-11-20 12:25:26,31.2156,29.9553,62.46,79,100,9.51
3,Vilhena,BR,2021-11-20 12:25:26,-12.7406,-60.1458,71.82,94,40,6.91
4,Hithadhoo,MV,2021-11-20 12:25:27,-0.6,73.0833,80.78,80,96,18.72
5,Zhuhai,CN,2021-11-20 12:20:50,22.2769,113.5678,75.11,83,0,12.66
6,Coquimbo,CL,2021-11-20 12:25:27,-29.9533,-71.3436,55.13,94,90,5.75
7,Upernavik,GL,2021-11-20 12:25:27,72.7868,-56.1549,4.69,65,100,6.6
8,Jacareacanga,BR,2021-11-20 12:25:28,-6.2222,-57.7528,76.68,89,99,3.38
9,Pevek,RU,2021-11-20 12:25:28,69.7008,170.3133,-8.99,92,29,2.66
10,Mar Del Plata,AR,2021-11-20 12:21:01,-38.0023,-57.5575,65.88,66,0,10.0
11,Faanui,PF,2021-11-20 12:25:28,-16.4833,-151.75,79.56,80,47,19.66
12,Lompoc,US,2021-11-20 12:25:12,34.6391,-120.4579,57.13,88,90,4.61
13,Bluff,NZ,2021-11-20 12:23:35,-46.6,168.3333,51.82,93,100,5.23
14,Vardo,NO,2021-11-20 12:25:29,70.3705,31.1107,30.4,82,100,21.23
15,East London,ZA,2021-11-20 12:23:40,-33.0153,27.9116,65.34,77,40,14.97
16,Tasiilaq,GL,2021-11-20 12:25:29,65.6145,-37.6368,26.76,91,100,7.49
17,Hilo,US,2021-11-20 12:23:39,19.7297,-155.09,76.28,78,75,6.91
18,Togur,RU,2021-11-20 12:25:29,58.3631,82.8265,14.54,93,100,10.02
19,Port Alfred,ZA,2021-11-20 12:24:49,-33.5906,26.891,66.34,66,56,14.65
20,Punta Arenas,CL,2021-11-20 12:23:38,-53.15,-70.9167,46.51,49,40,33.38
21,Portoferraio,IT,2021-11-20 12:25:30,42.8115,10.3146,65.97,82,20,9.22
22,Busselton,AU,2021-11-20 12:23:37,-33.65,115.3333,65.08,63,38,14.63
23,Lavrentiya,RU,2021-11-20 12:25:30,65.5833,-171.0,2.95,69,38,5.26
24,Kapaa,US,2021-11-20 12:25:30,22.0752,-159.319,77.32,83,75,11.5
25,Butaritari,KI,2021-11-20 12:24:57,3.0707,172.7902,82.02,70,93,13.31
26,Katsuura,JP,2021-11-20 12:25:31,35.1333,140.3,57.31,70,45,10.85
27,Atuona,PF,2021-11-20 12:25:31,-9.8,-139.0333,78.44,68,30,13.09
28,Molchanovo,RU,2021-11-20 12:25:31,57.5817,83.7692,15.06,92,100,8.95
29,Mount Gambier,AU,2021-11-20 12:25:31,-37.8333,140.7667,44.51,87,8,4.61
30,Yellowknife,CA,2021-11-20 12:25:32,62.456,-114.3525,-3.71,77,20,9.22
31,Hinton,CA,2021-11-20 12:25:32,53.4001,-117.5857,23.04,61,95,14.83
32,Hammerfest,NO,2021-11-20 12:25:32,70.6634,23.6821,30.65,86,75,13.8
33,Albany,US,2021-11-20 12:20:51,42.6001,-73.9662,28.72,84,38,2.73
34,Baleshwar,IN,2021-11-20 12:25:33,21.4942,86.9317,76.01,68,19,4.74
35,Kaspiysk,RU,2021-11-20 12:25:33,42.8816,47.6392,48.38,70,20,8.99
36,Ushuaia,AR,2021-11-20 12:23:35,-54.8,-68.3,38.82,87,75,11.5
37,Saint-Philippe,RE,2021-11-20 12:24:58,-21.3585,55.7679,82.47,70,17,11.7
38,Gat,IL,2021-11-20 12:22:02,31.61,34.7642,62.4,63,100,11.72
39,Castro,BR,2021-11-20 12:22:32,-24.7911,-50.0119,64.72,74,89,8.7
40,Port Hedland,AU,2021-11-20 12:25:33,-20.3167,118.5667,82.45,65,50,12.66
41,Avarua,CK,2021-11-20 12:23:35,-21.2078,-159.775,75.25,73,69,8.05
42,Aksu,CN,2021-11-20 12:25:34,41.1231,80.2644,35.92,35,0,4.79
43,Ekhabi,RU,2021-11-20 12:25:34,53.5102,142.9671,29.16,87,97,11.63
44,Anton Lizardo,MX,2021-11-20 12:25:34,19.05,-95.9833,69.22,77,76,17.92
45,Broken Hill,AU,2021-11-20 12:25:35,-31.95,141.4333,58.71,88,90,17.27
46,Nikolskoye,RU,2021-11-20 12:24:59,59.7035,30.7861,37.87,79,98,13.51
47,Dwarka,IN,2021-11-20 12:26:35,22.2394,68.9678,81.18,61,69,11.63
48,Puerto Ayora,EC,2021-11-20 12:26:35,-0.7393,-90.3518,68.27,81,76,10.11
49,Japura,ID,2021-11-20 12:26:35,-0.3167,102.35,76.71,87,100,1.39
50,Sobolevo,RU,2021-11-20 12:26:36,54.4299,31.8996,38.55,71,95,23.85
